team,elo,rank
Haiti,1691.1928523414197,80
Bosnia and Herzegovina,1686.611663919398,81
Northern Ireland,1685.8935546724495,82
United Arab Emirates,1683.6262188479602,83
Isle of Wight,1674.8379456178307,84
South Africa,1670.6787473842637,85
Jamaica,1666.105267537351,86
Abkhazia,1653.378850405093,87
Cape Verde,1652.809637112163,88
North Macedonia,1649.7214464879653,89
Guatemala,1648.6896218955155,90
Burkina Faso,1643.3351709422652,91
Ynys Môn,1640.261832419293,92
Ghana,1638.939365551081,93
Kárpátalja,1633.9361189158903,94
County of Nice,1632.4160360914577,95
Iceland,1631.7316349939224,96
Kernow,1617.684894836991,97
Andalusia,1616.1764426176767,98
Curaçao,1609.1659119226372,99
Finland,1607.7791685879931,100
Panjab,1606.6594476957503,101
New Caledonia,1604.1768906259201,102
Rhodes,1602.3429845952376,103
Qatar,1599.7838578284063,104
Angola,1599.6773580795195,105
Suriname,1599.194356637016,106
Tamil Eelam,1587.7598987512404,107
Réunion,1587.4892483253795,108
Artsakh,1586.4585676355478,109
Syria,1585.5818304745753,110
Chameria,1585.426460838867,111
Belarus,1585.0268113434483,112
Oman,1578.9214733181918,113
Menorca,1575.1877409011997,114
Palestine,1574.5520424439023,115
Kurdistan,1573.8516774473699,116
Corsica,1570.0379741891634,117
China,1567.631915232806,118
Yorkshire,1567.6018104347384,119
Zanzibar,1565.109674752782,120
Guinea,1564.348909813101,121
Ellan Vannin,1563.1512249268405,122
Arameans Suryoye,1557.831646260639,123
Cascadia,1556.8983866408691,124
Zambia,1552.974176107065,125
Bahrain,1551.9193118293701,126
Thailand,1548.6599095431504,127
Quebec,1542.9882214546285,128
Bulgaria,1541.8776767722666,129
Western Armenia,1541.5761510805814,130
Galicia,1537.4173070334582,131
Benin,1533.6295926606028,132
Gambia,1530.9424724981793,133
Trinidad and Tobago,1529.619373962014,134
Libya,1528.812549018387,135
Montenegro,1528.7974110459581,136
Maule Sur,1528.2170710503997,137
Guadeloupe,1526.6810159761485,138
Canary Islands,1525.5450846493582,139
Gabon,1525.1359096322685,140
Silesia,1523.677046630187,141
Biafra,1522.4604185699166,142
Asturias,1521.7168537361665,143
Indonesia,1520.4853364547994,144
Parishes of Jersey,1519.5011462007603,145
Togo,1517.6766041288952,146
Elba Island,1517.089213601059,147
Surrey,1515.9798901604206,148
Donetsk PR,1512.7824572820334,149
United Koreans in Japan,1512.505061097605,150
Mapuche,1511.493012549324,151
Felvidék,1511.2799219103254,152
Nicaragua,1510.8699350608201,153
Uganda,1509.935941131307,154
Shetland,1508.4464070979711,155
Tahiti,1507.5230433960708,156
Madagascar,1507.48548367289,157
Kazakhstan,1506.1658427772438,158
Brittany,1503.4655137425143,159
Délvidék,1500.0138617275218,160
Dominican Republic,1498.6092123595445,161
Malaysia,1498.3028302046653,162
Republic of St. Pauli,1496.032687399562,163
Saugeais,1493.4151312613935,164
Crimea,1492.4166008802633,165
Central Spain,1491.9306714590416,166
Madrid,1491.3597269347215,167
North Vietnam,1491.2413744383068,168
El Salvador,1490.3658533403636,169
Cilento,1489.2766908634605,170
Seborga,1487.3011937898737,171
Guyana,1486.2419183152629,172
Székely Land,1484.6716192995414,173
Mozambique,1483.7146951153666,174
Luhansk PR,1483.19933706939,175
Kuwait,1481.7074518133852,176
North Korea,1480.8902412838179,177
Comoros,1478.1828578710988,178
Luxembourg,1478.1360479419386,179
Vietnam,1477.985333951179,180
Matabeleland,1477.933299753968,181
Sápmi,1477.6951086410854,182
Sealand,1476.5511982222176,183
South Ossetia,1475.7965574733123,184
Zimbabwe,1475.0064327189996,185
Yoruba Nation,1474.4237164938247,186
Niger,1474.0965797494903,187
Martinique,1471.8892208941782,188
Kenya,1471.0086171267803,189
Ryūkyū,1468.069135816176,190
Somaliland,1467.1331823002956,191
Rwanda,1466.786801650553,192
Åland Islands,1466.627707864566,193
West Papua,1466.4270683115021,194
Gotland,1460.7234216068478,195
Aymara,1460.2899164002763,196
Romani people,1459.0304025260439,197
Faroe Islands,1455.7029258401917,198
Kyrgyzstan,1454.223484153385,199
Provence,1454.068576285708,200
Sudan,1452.0857410619444,201
South Yemen,1451.906001454678,202
Mayotte,1451.6543439550574,203
Saarland,1451.1518732191878,204
Hmong,1450.3804267313994,205
Kabylia,1450.3656251547861,206
East Turkestan,1448.5332174399325,207
Franconia,1448.5225550360715,208
Sierra Leone,1448.3770974062252,209
Mauritania,1447.324457247313,210
Greenland,1445.4861095069082,211
Papua New Guinea,1443.448635108675,212
Malawi,1443.4106076365506,213
Estonia,1443.1284017572507,214
Equatorial Guinea,1441.2138128530687,215
Chechnya,1437.9472326379723,216
Lebanon,1433.6741201434984,217
Liberia,1431.6635931943865,218
Armenia,1426.2168750619146,219
Tajikistan,1425.637969870265,220
Vanuatu,1424.9828526738534,221
Niue,1421.9200013600046,222
Gozo,1418.8236612937571,223
Manchukuo,1416.6233038563971,224
Monaco,1415.6939505597932,225
Tanzania,1415.6000486974679,226
Western Isles,1414.7503294871394,227
Găgăuzia,1412.2571214256975,228
Cuba,1406.2620336954758,229
Palau,1404.460990839095,230
Saint Barthélemy,1404.0702189075625,231
Namibia,1401.9662909701663,232
Marshall Islands,1401.2183980531843,233
French Guiana,1401.1546122050338,234
Lesotho,1398.1218428685174,235
Azerbaijan,1395.9069091159763,236
Vatican City,1390.9194817558666,237
Fiji,1389.7577649664456,238
Turkmenistan,1388.4874887126803,239
Orkney,1388.0468731666526,240
Ticino,1387.5984895200024,241
Western Australia,1386.5876040368025,242
Botswana,1386.4062129563536,243
Ethiopia,1383.5354046764978,244
Burundi,1381.0515471071053,245
Cyprus,1378.8225615978977,246
Two Sicilies,1369.1548279041642,247
Western Sahara,1368.6490463127407,248
Raetia,1367.4567228382125,249
Malta,1364.6649450556392,250
Barawa,1359.7044304383771,251
Guinea-Bissau,1359.6530344531018,252
Puerto Rico,1354.8311882055423,253
Vietnam Republic,1352.476107779389,254
Saint Vincent and the Grenadines,1349.5688316779601,255
Central African Republic,1346.1466297670772,256
Solomon Islands,1345.0976899700654,257
Philippines,1341.6959086269483,258
Lithuania,1341.6548861650538,259
Yemen DPR,1338.4656920774564,260
Moldova,1337.686221996701,261
Latvia,1336.3674835303148,262
Bermuda,1331.881016723591,263
Hong Kong,1329.2485418339577,264
Saare County,1327.5828203882074,265
Congo,1326.0220584108758,266
Chagos Islands,1321.2024876897738,267
Hitra,1318.702783078852,268
Sark,1316.4385772220082,269
Saint Helena,1313.6637311756078,270
Saint Martin,1307.5137970648525,271
Eswatini,1302.803679949706,272
Micronesia,1296.0937093523914,273
Singapore,1291.6812897286632,274
Belize,1286.5726632374503,275
Ambazonia,1284.8555345196312,276
Yemen,1282.2987698902027,277
Sint Maarten,1276.1257029551493,278
Grenada,1275.2080205548195,279
Wallis Islands and Futuna,1271.2992503391713,280
South Sudan,1254.2816906581022,281
Saint Kitts and Nevis,1251.2117646464253,282
India,1250.6850071960566,283
Saint Pierre and Miquelon,1250.3056000013894,284
Tibet,1242.7344572947366,285
Chad,1236.9818266992136,286
Samoa,1226.282471494114,287
Kiribati,1206.6696597432071,288
Mauritius,1205.4544857506269,289
Montserrat,1189.953831939443,290
Aruba,1186.7193692679919,291
Tuvalu,1184.7087950687821,292
Eritrea,1179.9463676152313,293
Falkland Islands,1175.7650990125119,294
Saint Lucia,1174.6924120895553,295
Darfur,1173.166511972727,296
São Tomé and Príncipe,1152.7542106574285,297
Andorra,1149.9411002556944,298
Gibraltar,1146.3047474110117,299
Frøya,1142.3436307879351,300
Afghanistan,1137.6043407510685,301
Dominica,1126.0426840189314,302
Myanmar,1120.1853451449035,303
Cook Islands,1118.856195319447,304
Bangladesh,1115.8903731602554,305
Pakistan,1103.6765578744498,306
Barbados,1094.5107988458215,307
Nepal,1085.367909637261,308
Cambodia,1077.4086983742675,309
Bonaire,1076.0746069032823,310
Antigua and Barbuda,1072.7933421805205,311
Taiwan,1054.2772376589448,312
Tonga,1053.1586758096412,313
Alderney,1052.079669027148,314
Djibouti,1046.6025097608162,315
Somalia,1015.722647191964,316
Cayman Islands,997.8799530196719,317
British Virgin Islands,996.8029944585819,318
Maldives,991.6116333167713,319
Seychelles,986.4283502408294,320
Sri Lanka,972.4340410197283,321
Mongolia,954.3687479723553,322
Liechtenstein,953.3671898319388,323
Guam,948.0802216748278,324
United States Virgin Islands,935.2717637943283,325
San Marino,925.5752985469992,326
Turks and Caicos Islands,918.7888472318399,327
Laos,912.621786287444,328
Northern Mariana Islands,905.8141014597853,329
Bahamas,882.6667584438117,330
Brunei,860.7991993389057,331
American Samoa,855.8298939840662,332
Timor-Leste,849.706823186803,333
Anguilla,843.8387766922178,334
Macau,804.580937628576,335
Bhutan,804.4560690824513,336
